id,district,pop_16,dpt16,bcg16,mea16,polio16,ipv16,pcv16,hpv16,dpt_droprate16,pentapcv_gap16,score16
96,NWOYA," 161,249 ",95,69,83,86,54,89,1,0,6,78
97,OTUKE," 113,413 ",115,111,107,103,48,109,2,7,6,89
98,OYAM," 407,008 ",111,112,102,107,43,103,4,9,7,89
99,PADER," 184,832 ",190,163,184,185,56,176,1,5,13,89
100,PALLISA," 414,446 ",103,92,82,100,52,97,1,10,7,78
101,RAKAI," 537,168 ",101,93,81,94,41,94,1,9,6,78
102,RUBIRIZI," 134,367 ",127,92,108,123,54,117,3,2,10,89
103,RUKUNGIRI," 321,655 ",88,111,76,83,44,83,5,4,4,100
104,SSEMBABULE," 266,940 ",115,95,98,114,75,114,2,9,1,89
105,SERERE," 309,233 ",100,90,82,100,39,99,1,-2,1,89
106,SHEEMA," 212,349 ",77,81,71,77,41,74,4,9,3,89
107,SIRONKO," 253,206 ",122,86,119,115,52,107,0,-2,15,78
108,SOROTI," 318,590 ",97,86,81,94,30,93,1,0,5,89
109,TORORO," 544,320 ",103,101,96,96,30,97,2,2,6,89
110,WAKISO," 2,269,778 ",81,62,79,77,33,76,1,6,5,67
111,YUMBE," 539,619 ",71,45,68,71,41,69,3,3,2,67
112,ZOMBO," 254,209 ",105,101,101,92,51,89,1,7,16,67
